# REPARTITION STRESS TEST
# Trois routes vers goal, longueurs 8 / 11 / 14, capacites 1 / 2 / 3
# Un algo qui n'utilise qu'une route sera tres loin de l'optimal.

nb_drones: 30

start_hub: start 0 0 [color=green]

# Distributeur : trois sorties depuis start
hub: split 1 0 [color=yellow max_drones=3]

# ROUTE A - la plus courte, la plus etroite (capacite 1)
hub: a1 2 -2 [color=red max_drones=1]
hub: a2 3 -2 [color=red max_drones=1]
hub: a3 4 -2 [color=red max_drones=1]
hub: a4 5 -2 [color=red max_drones=1]
hub: a5 6 -2 [color=red max_drones=1]

# ROUTE B - moyenne, capacite 2, un restricted au milieu
hub: b1 2 0 [color=blue max_drones=2]
hub: b2 3 0 [color=blue max_drones=2]
hub: b3 4 0 [zone=restricted color=blue max_drones=2]
hub: b4 5 0 [color=blue max_drones=2]
hub: b5 6 0 [color=blue max_drones=2]
hub: b6 7 0 [color=blue max_drones=2]
hub: b7 8 0 [color=blue max_drones=2]
hub: b8 9 0 [color=blue max_drones=2]

# ROUTE C - la plus longue, la plus large (capacite 3)
hub: c1 2 2 [color=cyan max_drones=3]
hub: c2 3 2 [color=cyan max_drones=3]
hub: c3 4 2 [color=cyan max_drones=3]
hub: c4 5 2 [color=cyan max_drones=3]
hub: c5 6 2 [color=cyan max_drones=3]
hub: c6 7 2 [color=cyan max_drones=3]
hub: c7 8 2 [color=cyan max_drones=3]
hub: c8 9 2 [color=cyan max_drones=3]
hub: c9 10 2 [color=cyan max_drones=3]
hub: c10 11 2 [color=cyan max_drones=3]
hub: c11 12 2 [color=cyan max_drones=3]

# Convergence
hub: merge 13 0 [color=orange max_drones=4]
end_hub: goal 14 0 [color=green]

# --- CONNEXIONS ---
connection: start-split [max_link_capacity=6]

connection: split-a1 [max_link_capacity=1]
connection: a1-a2 [max_link_capacity=1]
connection: a2-a3 [max_link_capacity=1]
connection: a3-a4 [max_link_capacity=1]
connection: a4-a5 [max_link_capacity=1]
connection: a5-merge [max_link_capacity=1]

connection: split-b1 [max_link_capacity=2]
connection: b1-b2 [max_link_capacity=2]
connection: b2-b3 [max_link_capacity=2]
connection: b3-b4 [max_link_capacity=2]
connection: b4-b5 [max_link_capacity=2]
connection: b5-b6 [max_link_capacity=2]
connection: b6-b7 [max_link_capacity=2]
connection: b7-b8 [max_link_capacity=2]
connection: b8-merge [max_link_capacity=2]

connection: split-c1 [max_link_capacity=3]
connection: c1-c2 [max_link_capacity=3]
connection: c2-c3 [max_link_capacity=3]
connection: c3-c4 [max_link_capacity=3]
connection: c4-c5 [max_link_capacity=3]
connection: c5-c6 [max_link_capacity=3]
connection: c6-c7 [max_link_capacity=3]
connection: c7-c8 [max_link_capacity=3]
connection: c8-c9 [max_link_capacity=3]
connection: c9-c10 [max_link_capacity=3]
connection: c10-c11 [max_link_capacity=3]
connection: c11-merge [max_link_capacity=3]

connection: merge-goal [max_link_capacity=4]
