# STRESS TEST: VOLUME
# 60 drones, reseau large, ~70 hubs.
# Teste la charge de calcul et la capacite a saturer plusieurs routes.

nb_drones: 60

start_hub: start 0 0 [color=green]
hub: fan 1 0 [color=yellow max_drones=8]

# Quatre couloirs paralleles de 12 hubs, capacites variees
hub: p1_01 2 -3 [color=red max_drones=4]
hub: p1_02 3 -3 [color=red max_drones=4]
hub: p1_03 4 -3 [color=red max_drones=4]
hub: p1_04 5 -3 [color=red max_drones=4]
hub: p1_05 6 -3 [color=red max_drones=4]
hub: p1_06 7 -3 [zone=restricted color=red max_drones=4]
hub: p1_07 8 -3 [color=red max_drones=4]
hub: p1_08 9 -3 [color=red max_drones=4]
hub: p1_09 10 -3 [color=red max_drones=4]
hub: p1_10 11 -3 [color=red max_drones=4]
hub: p1_11 12 -3 [color=red max_drones=4]
hub: p1_12 13 -3 [color=red max_drones=4]

hub: p2_01 2 -1 [color=blue max_drones=3]
hub: p2_02 3 -1 [color=blue max_drones=3]
hub: p2_03 4 -1 [color=blue max_drones=3]
hub: p2_04 5 -1 [color=blue max_drones=3]
hub: p2_05 6 -1 [color=blue max_drones=3]
hub: p2_06 7 -1 [color=blue max_drones=3]
hub: p2_07 8 -1 [color=blue max_drones=3]
hub: p2_08 9 -1 [color=blue max_drones=3]
hub: p2_09 10 -1 [color=blue max_drones=3]
hub: p2_10 11 -1 [color=blue max_drones=3]

hub: p3_01 2 1 [color=cyan max_drones=5]
hub: p3_02 3 1 [color=cyan max_drones=5]
hub: p3_03 4 1 [color=cyan max_drones=5]
hub: p3_04 5 1 [color=cyan max_drones=5]
hub: p3_05 6 1 [color=cyan max_drones=5]
hub: p3_06 7 1 [color=cyan max_drones=5]
hub: p3_07 8 1 [color=cyan max_drones=5]
hub: p3_08 9 1 [color=cyan max_drones=5]
hub: p3_09 10 1 [color=cyan max_drones=5]
hub: p3_10 11 1 [color=cyan max_drones=5]
hub: p3_11 12 1 [color=cyan max_drones=5]
hub: p3_12 13 1 [color=cyan max_drones=5]
hub: p3_13 14 1 [color=cyan max_drones=5]

hub: p4_01 2 3 [color=purple max_drones=2]
hub: p4_02 3 3 [color=purple max_drones=2]
hub: p4_03 4 3 [zone=priority color=purple max_drones=2]
hub: p4_04 5 3 [color=purple max_drones=2]
hub: p4_05 6 3 [color=purple max_drones=2]
hub: p4_06 7 3 [color=purple max_drones=2]
hub: p4_07 8 3 [color=purple max_drones=2]
hub: p4_08 9 3 [color=purple max_drones=2]

# Passerelles entre couloirs (croisements possibles)
hub: bridge_a 6 0 [color=orange max_drones=3]
hub: bridge_b 9 0 [color=orange max_drones=3]
hub: bridge_c 6 2 [color=orange max_drones=3]

# Convergence
hub: merge1 15 -1 [color=yellow max_drones=6]
hub: merge2 15 1 [color=yellow max_drones=6]
hub: final 16 0 [color=orange max_drones=8]
end_hub: goal 17 0 [color=green]

# --- CONNEXIONS ---
connection: start-fan [max_link_capacity=8]

connection: fan-p1_01 [max_link_capacity=4]
connection: fan-p2_01 [max_link_capacity=3]
connection: fan-p3_01 [max_link_capacity=5]
connection: fan-p4_01 [max_link_capacity=2]

connection: p1_01-p1_02 [max_link_capacity=4]
connection: p1_02-p1_03 [max_link_capacity=4]
connection: p1_03-p1_04 [max_link_capacity=4]
connection: p1_04-p1_05 [max_link_capacity=4]
connection: p1_05-p1_06 [max_link_capacity=4]
connection: p1_06-p1_07 [max_link_capacity=4]
connection: p1_07-p1_08 [max_link_capacity=4]
connection: p1_08-p1_09 [max_link_capacity=4]
connection: p1_09-p1_10 [max_link_capacity=4]
connection: p1_10-p1_11 [max_link_capacity=4]
connection: p1_11-p1_12 [max_link_capacity=4]
connection: p1_12-merge1 [max_link_capacity=4]

connection: p2_01-p2_02 [max_link_capacity=3]
connection: p2_02-p2_03 [max_link_capacity=3]
connection: p2_03-p2_04 [max_link_capacity=3]
connection: p2_04-p2_05 [max_link_capacity=3]
connection: p2_05-p2_06 [max_link_capacity=3]
connection: p2_06-p2_07 [max_link_capacity=3]
connection: p2_07-p2_08 [max_link_capacity=3]
connection: p2_08-p2_09 [max_link_capacity=3]
connection: p2_09-p2_10 [max_link_capacity=3]
connection: p2_10-merge1 [max_link_capacity=3]

connection: p3_01-p3_02 [max_link_capacity=5]
connection: p3_02-p3_03 [max_link_capacity=5]
connection: p3_03-p3_04 [max_link_capacity=5]
connection: p3_04-p3_05 [max_link_capacity=5]
connection: p3_05-p3_06 [max_link_capacity=5]
connection: p3_06-p3_07 [max_link_capacity=5]
connection: p3_07-p3_08 [max_link_capacity=5]
connection: p3_08-p3_09 [max_link_capacity=5]
connection: p3_09-p3_10 [max_link_capacity=5]
connection: p3_10-p3_11 [max_link_capacity=5]
connection: p3_11-p3_12 [max_link_capacity=5]
connection: p3_12-p3_13 [max_link_capacity=5]
connection: p3_13-merge2 [max_link_capacity=5]

connection: p4_01-p4_02 [max_link_capacity=2]
connection: p4_02-p4_03 [max_link_capacity=2]
connection: p4_03-p4_04 [max_link_capacity=2]
connection: p4_04-p4_05 [max_link_capacity=2]
connection: p4_05-p4_06 [max_link_capacity=2]
connection: p4_06-p4_07 [max_link_capacity=2]
connection: p4_07-p4_08 [max_link_capacity=2]
connection: p4_08-merge2 [max_link_capacity=2]

connection: p1_05-bridge_a [max_link_capacity=3]
connection: bridge_a-p2_05 [max_link_capacity=3]
connection: p1_08-bridge_b [max_link_capacity=3]
connection: bridge_b-p2_08 [max_link_capacity=3]
connection: p3_05-bridge_c [max_link_capacity=3]
connection: bridge_c-p4_05 [max_link_capacity=3]

connection: merge1-final [max_link_capacity=6]
connection: merge2-final [max_link_capacity=6]
connection: final-goal [max_link_capacity=8]
