# STRESS TEST: RESEAU 3D
# Grille 3x3x3 : connexions dans le plan + entre couches.
# L'enchevetrement teste la capacite a choisir parmi ~6 voisins par hub.

nb_drones: 20

start_hub: start -1 1 [color=green]

# COUCHE 0 (avant) - y de 0 a 2
hub: z0_00 1 0 [color=red max_drones=2]
hub: z0_01 2 0 [color=red max_drones=2]
hub: z0_02 3 0 [color=red max_drones=2]
hub: z0_10 1 1 [color=red max_drones=2]
hub: z0_11 2 1 [zone=restricted color=red max_drones=2]
hub: z0_12 3 1 [color=red max_drones=2]
hub: z0_20 1 2 [color=red max_drones=2]
hub: z0_21 2 2 [color=red max_drones=2]
hub: z0_22 3 2 [color=red max_drones=2]

# COUCHE 1 (milieu) - decalee pour la lisibilite
hub: z1_00 5 -1 [color=blue max_drones=3]
hub: z1_01 6 -1 [color=blue max_drones=3]
hub: z1_02 7 -1 [color=blue max_drones=3]
hub: z1_10 5 1 [color=blue max_drones=3]
hub: z1_11 6 1 [color=blue max_drones=3]
hub: z1_12 7 1 [color=blue max_drones=3]
hub: z1_20 5 3 [color=blue max_drones=3]
hub: z1_21 6 3 [zone=priority color=blue max_drones=3]
hub: z1_22 7 3 [color=blue max_drones=3]

# COUCHE 2 (arriere)
hub: z2_00 9 0 [color=cyan max_drones=2]
hub: z2_01 10 0 [color=cyan max_drones=2]
hub: z2_02 11 0 [color=cyan max_drones=2]
hub: z2_10 9 1 [color=cyan max_drones=2]
hub: z2_11 10 1 [zone=restricted color=cyan max_drones=2]
hub: z2_12 11 1 [color=cyan max_drones=2]
hub: z2_20 9 2 [color=cyan max_drones=2]
hub: z2_21 10 2 [color=cyan max_drones=2]
hub: z2_22 11 2 [color=cyan max_drones=2]

end_hub: goal 13 1 [color=green]

# --- ENTREE ---
connection: start-z0_00 [max_link_capacity=2]
connection: start-z0_10 [max_link_capacity=2]
connection: start-z0_20 [max_link_capacity=2]

# --- COUCHE 0 : grille interne ---
connection: z0_00-z0_01 [max_link_capacity=2]
connection: z0_01-z0_02 [max_link_capacity=2]
connection: z0_10-z0_11 [max_link_capacity=2]
connection: z0_11-z0_12 [max_link_capacity=2]
connection: z0_20-z0_21 [max_link_capacity=2]
connection: z0_21-z0_22 [max_link_capacity=2]
connection: z0_00-z0_10 [max_link_capacity=2]
connection: z0_10-z0_20 [max_link_capacity=2]
connection: z0_01-z0_11 [max_link_capacity=2]
connection: z0_11-z0_21 [max_link_capacity=2]
connection: z0_02-z0_12 [max_link_capacity=2]
connection: z0_12-z0_22 [max_link_capacity=2]

# --- COUCHE 1 : grille interne ---
connection: z1_00-z1_01 [max_link_capacity=3]
connection: z1_01-z1_02 [max_link_capacity=3]
connection: z1_10-z1_11 [max_link_capacity=3]
connection: z1_11-z1_12 [max_link_capacity=3]
connection: z1_20-z1_21 [max_link_capacity=3]
connection: z1_21-z1_22 [max_link_capacity=3]
connection: z1_00-z1_10 [max_link_capacity=3]
connection: z1_10-z1_20 [max_link_capacity=3]
connection: z1_01-z1_11 [max_link_capacity=3]
connection: z1_11-z1_21 [max_link_capacity=3]
connection: z1_02-z1_12 [max_link_capacity=3]
connection: z1_12-z1_22 [max_link_capacity=3]

# --- COUCHE 2 : grille interne ---
connection: z2_00-z2_01 [max_link_capacity=2]
connection: z2_01-z2_02 [max_link_capacity=2]
connection: z2_10-z2_11 [max_link_capacity=2]
connection: z2_11-z2_12 [max_link_capacity=2]
connection: z2_20-z2_21 [max_link_capacity=2]
connection: z2_21-z2_22 [max_link_capacity=2]
connection: z2_00-z2_10 [max_link_capacity=2]
connection: z2_10-z2_20 [max_link_capacity=2]
connection: z2_01-z2_11 [max_link_capacity=2]
connection: z2_11-z2_21 [max_link_capacity=2]
connection: z2_02-z2_12 [max_link_capacity=2]
connection: z2_12-z2_22 [max_link_capacity=2]

# --- LIAISONS INTER-COUCHES (l'axe Z) ---
connection: z0_00-z1_00 [max_link_capacity=2]
connection: z0_01-z1_01 [max_link_capacity=2]
connection: z0_02-z1_02 [max_link_capacity=2]
connection: z0_10-z1_10 [max_link_capacity=2]
connection: z0_11-z1_11 [max_link_capacity=2]
connection: z0_12-z1_12 [max_link_capacity=2]
connection: z0_20-z1_20 [max_link_capacity=2]
connection: z0_21-z1_21 [max_link_capacity=2]
connection: z0_22-z1_22 [max_link_capacity=2]

connection: z1_00-z2_00 [max_link_capacity=2]
connection: z1_01-z2_01 [max_link_capacity=2]
connection: z1_02-z2_02 [max_link_capacity=2]
connection: z1_10-z2_10 [max_link_capacity=2]
connection: z1_11-z2_11 [max_link_capacity=2]
connection: z1_12-z2_12 [max_link_capacity=2]
connection: z1_20-z2_20 [max_link_capacity=2]
connection: z1_21-z2_21 [max_link_capacity=2]
connection: z1_22-z2_22 [max_link_capacity=2]

# --- SORTIE ---
connection: z2_02-goal [max_link_capacity=2]
connection: z2_12-goal [max_link_capacity=2]
connection: z2_22-goal [max_link_capacity=2]
